parent;child
admin;document/basket/index
tester;document/basket/index
admin;document/basket/view-basket
tester;document/basket/view-basket
admin;document/element-manage/confirm-delete-element
admin;document/element-manage/create-element
admin;document/element-manage/delete-element
admin;document/element-manage/delete-file
admin;document/element-manage/refresh-elements
admin;document/element-manage/update-element
admin;document/element-manage/view-element
tester;document/element-manage/view-element
admin;document/field-manage/confirm-delete-field
admin;document/field-manage/create-field
admin;document/field-manage/delete-field
admin;document/field-manage/refresh-field
admin;document/field-manage/update-field
admin;document/field-manage/view-field
tester;document/field-manage/view-field
admin;document/folder-manage/confirm-delete-folder
admin;document/folder-manage/create-folder
admin;document/folder-manage/delete-folder
admin;document/folder-manage/refresh-folders
admin;document/folder-manage/update-folder
admin;document/folder-manage/view-elements
tester;document/folder-manage/view-elements
admin;document/folder-manage/view-folder
tester;document/folder-manage/view-folder
admin;document/manage/get-childs
tester;document/manage/get-childs
admin;document/manage/get-root
tester;document/manage/get-root
admin;document/manage/index
tester;document/manage/index
admin;document/template-manage/create-template
admin;document/template-manage/delete-template
admin;document/template-manage/refresh-template
admin;document/template-manage/update-template
admin;document/template-manage/view-template
tester;document/template-manage/view-template
admin;editor
admin;geo/city/get-city
tester;geo/city/get-city
admin;geo/city/index
tester;geo/city/index
admin;geo/country/get-country
tester;geo/country/get-country
admin;geo/country/index
tester;geo/country/index
admin;geo/region/get-region
tester;geo/region/get-region
admin;geo/region/index
tester;geo/region/index
admin;i18n/manage/clear-cache
tester;i18n/manage/clear-cache
admin;i18n/manage/index
tester;i18n/manage/index
admin;i18n/manage/rescan
tester;i18n/manage/rescan
admin;i18n/manage/save
admin;main/manage/files-manager
tester;main/manage/files-manager
admin;main/manage/index
tester;main/manage/index
admin;role/manage/confirm-delete-auth-item
admin;role/manage/confirm-delete-auth-item-child
admin;role/manage/confirm-delete-auth-rule
admin;role/manage/create-auth-item
admin;role/manage/create-auth-item-child
admin;role/manage/create-auth-rule
admin;role/manage/delete-auth-item
admin;role/manage/delete-auth-item-child
admin;role/manage/delete-auth-rule
admin;role/manage/index
tester;role/manage/index
admin;role/manage/refresh-auth-item-form
admin;role/manage/refresh-auth-rule
admin;role/manage/update-auth-item
admin;role/manage/update-auth-rule
admin;role/manage/view-auth-item
tester;role/manage/view-auth-item
admin;role/manage/view-auth-rule
tester;role/manage/view-auth-rule
admin;settings/statistic/index
tester;settings/statistic/index
admin;tester
editor;tester
admin;user
admin;user/manage/confirm-delete-user
admin;user/manage/create-user
admin;user/manage/delete-user
admin;user/manage/index
admin;user/manage/refresh-user
admin;user/manage/update-user
admin;user/manage/view-user
